Llama2_corr_score,Llama2_wrong_score,Llama2_right
-3.5002467350568622,-3.585112080385443,True
-2.650685389131208,-3.3293552849791013,True
-3.9931290547053018,-6.14039542277654,True
-4.44310311647132,-5.533488638699055,True
-2.0650733560707355,-2.6788498784590047,True
-2.671716944695535,-3.1847997022877363,True
-4.113054403662682,-4.613085009834983,True
-2.958508406041397,-3.196238349750638,True
-2.882888955599628,-4.316547215729952,True
-5.390230203047395,-6.296918857842684,True
-4.357397081596511,-5.700922944716045,True
-3.4538545730627246,-3.954042940917942,True
-3.0286493156519203,-4.039766160978211,True
-3.0551356764303312,-3.651917290281166,True
-2.2229472536844415,-2.9606332359119105,True
-2.349601873769783,-2.78178484167438,True
-2.0650733560707355,-2.960369483906437,True
-2.359698946607144,-3.2506981570525872,True
-2.474395434682568,-3.347282258948932,True
-2.3719999850494786,-2.960997634035136,True
-2.8509274425783326,-3.618931630958936,True
-2.2067827962052364,-3.2197481678942075,True
-2.5524881134995003,-3.0876772298731585,True
-4.662618500845773,-5.799054827008929,True
-3.6750728730112314,-3.8800172076693604,True
-3.6750728730112314,-4.2131075575947765,True
-3.617935063051326,-5.070757848521073,True
-3.617935063051326,-4.324528933068117,True
-3.7152182336948396,-3.689721005373738,False
-3.222105372111764,-3.7418801098385304,True
-2.937450683582574,-3.226358030748088,True
-3.7152182336948396,-4.364249557605945,True
-2.7622806678060443,-3.817204240295622,True
-1.9342501255062718,-2.760530950812002,True
-2.3592903837353725,-2.6610738733101504,True
-3.076113084334793,-5.792365416884422,True
-3.667084254324436,-4.12404865125427,True
-3.8739580012754433,-4.293952043582168,True
-4.0035561818836465,-4.490893559633857,True
-2.3477036856633138,-2.779614966168223,True
-4.7957703812151316,-5.06131400483557,True
-2.7369396780969426,-2.8952287086123594,True
-3.3866818397596945,-4.210604457165755,True
-3.667084254324436,-3.952749729208234,True
-3.8739580012754433,-4.58632713307937,True
-4.0035561818836465,-4.818858516557763,True
-2.8676933407841716,-3.836613464925904,True
-3.0504876397550107,-3.3350065022706987,True
-3.61617763407412,-3.815224165469408,True
-3.2764726881170647,-3.8992968865204602,True
-3.5550439370796085,-3.8729588319030075,True
-4.174715658184141,-4.266176156405556,True
-3.2737278127840357,-3.6877302857844727,True
-3.334060607614982,-4.185139796430511,True
-4.082476895488798,-5.076707010467847,True
-3.3271895074285567,-4.488453710584769,True
-3.104097791326543,-3.8606461354065686,True
-2.7980916032975074,-4.127030250499956,True
-3.6031175268581137,-4.830306053261405,True
-3.404979082449388,-4.008474478292662,True
-2.7909618648933248,-3.402634059273017,True
-3.8996041649176427,-4.686950242945126,True
-3.4502915059169754,-3.5039025651766798,True
-3.6977231102995574,-4.2720177373848855,True
-3.7937676500942974,-4.299257684499025,True
-3.7570085137053146,-3.9269394520204512,True
-3.4224350250413407,-3.978286730777472,True
-3.4224350250413407,-4.110572581620593,True
-3.810334971421124,-4.216257311622886,True
-3.274767099711527,-3.686563646859106,True
-4.605906267081284,-4.596043898491189,False
-4.064745414217836,-4.547829460184504,True
-3.1715456306222167,-3.7890294219367204,True
-4.065524747595191,-5.238286308514384,True
-4.390369359372804,-4.539547143703593,True
-3.72888333454509,-4.218635529155533,True
-3.677032087246577,-4.321684543575559,True
-2.9914920391576527,-3.552884646305756,True
-3.7378679575152036,-4.200549675151706,True
-4.41920025939388,-5.259506702423096,True
-3.8185564740202746,-4.952916992440199,True
-4.614099118858576,-5.454017395774524,True
-2.854868002912207,-3.5394347930111842,True
-4.473931641063907,-4.804022999790807,True
