GEITje_DPO_corr_score,GEITje_DPO_wrong_score,GEITje_DPO_right
-3.09887791584645,-3.1551535725593567,True
-2.392953684141893,-2.997474618256092,True
-3.8613544702529907,-4.570056542754173,True
-3.2487819647882135,-3.1801156052176585,False
-2.0246334675751068,-2.229215853738424,True
-2.0453157384340144,-2.8176162738818675,True
-3.6879332883283498,-4.423317659984935,True
-2.681014168309048,-2.801179367635632,True
-2.5837304149754345,-3.3843350446867673,True
-4.10613990604179,-4.724959024124676,True
-3.28495969530195,-3.4836005535390644,True
-2.7709901335830285,-2.9666015433846042,True
-2.9313514354871586,-3.3844225232256577,True
-2.999463784068616,-3.396598404421556,True
-1.940369039849611,-2.4352809540796443,True
-1.9811016750228494,-2.43748480237673,True
-2.0246334675751068,-2.486311586088656,True
-2.178193125222326,-2.515651167958692,True
-2.250434153095389,-2.4332185643059865,True
-2.0286767839434106,-2.4815940569606028,True
-2.554229094859433,-3.08165736073485,True
-2.292236754491639,-3.1168917717337274,True
-2.0677175886036516,-2.4038084361952943,True
-4.386053346097469,-4.452784175674121,True
-3.481953185983002,-3.7830140723048578,True
-3.481953185983002,-4.509757539629936,True
-3.4742107482930544,-5.018748943693936,True
-3.4742107482930544,-4.2195327924603285,True
-3.5206554921751376,-3.4483589952772795,False
-2.5703001725602337,-2.771080221512117,True
-1.73368545685571,-2.50579931215907,True
-3.5206554921751376,-4.032662096182321,True
-2.9200179759267484,-3.658490584542354,True
-1.768697296969549,-2.6186784462382398,True
-1.8402587896779161,-1.7917735234875485,False
-2.4473745961331588,-3.247217211458418,True
-2.9045745466525354,-2.9193766168900765,True
-3.2380867967076483,-3.67891802478116,True
-3.7094939938769027,-3.756259441774455,True
-2.173725932408591,-2.069890473277231,False
-2.8387158933205456,-2.968812696631093,True
-2.580863290795681,-2.942459099169215,True
-2.715070908665704,-2.840099326188255,True
-2.9045745466525354,-4.070696280822934,True
-3.2380867967076483,-3.8478271439024763,True
-3.7094939938769027,-3.993727476675607,True
-2.638384550076444,-3.278386827651411,True
-2.557663851574034,-3.100344537710771,True
-3.018608993119819,-2.8104191006471715,False
-2.9706131278158865,-3.236220187798608,True
-3.1305099273346664,-3.978078948576455,True
-3.2403560996886385,-3.6240474582606113,True
-3.4041706214520673,-3.4095632971402665,True
-3.37572050694657,-4.063058408629149,True
-3.7969854161765397,-4.468446804580578,True
-3.249097239036928,-3.96909198788926,True
-3.034817767629743,-3.7809160336231193,True
-2.9663389988030153,-3.621895272120395,True
-3.5287693070850388,-4.306070783743053,True
-3.084084805599923,-3.9304492601957848,True
-2.454990658155897,-3.0306072899428336,True
-3.7802970667835325,-4.736442064245542,True
-3.2391554884223015,-3.9079713285573234,True
-3.482378793791646,-4.113133354733388,True
-3.633419002095858,-4.084260956966318,True
-3.5296264714866994,-3.7231343874813145,True
-3.366669706208562,-3.7202334185103174,True
-3.366669706208562,-3.943924869646435,True
-3.649552488456215,-3.836645922723821,True
-2.983915187534876,-3.621236360298806,True
-3.9280264823682955,-3.8957205046666785,False
-3.4104506884274692,-4.03109518806159,True
-3.144219963322636,-3.7305340099737805,True
-3.918202894074576,-4.952207533320268,True
-4.109565272920978,-4.278095511063449,True
-3.131301464142253,-3.292358564993586,True
-4.128326924797148,-4.299599813430437,True
-3.3962053077318615,-3.5408213634121544,True
-3.4684779622138624,-3.7444443909917027,True
-4.208040110101657,-4.858350396872713,True
-3.9940233972514623,-4.868084334850816,True
-5.77780928214391,-5.91564757715572,True
-2.448885413353723,-3.424200234172329,True
-4.2155744446102865,-4.616462028352544,True
-4.2155744446102865,-5.453387150710279,True
-4.2155744446102865,-4.666987330963214,True
-4.604435839246781,-4.897334073437378,True
-3.804437007802335,-3.998694186549555,True
-3.3641978636500425,-3.584401278931182,True
-3.421917644628723,-4.401229354552925,True
-3.007757809735588,-3.616024030339516,True
-4.161172955388403,-4.754219904231529,True
-3.3644847041875683,-4.617113612428915,True
-3.740129101028045,-5.5947821995673275,True
-4.1347108108581905,-4.091871951909464,False
-4.1347108108581905,-4.5403642458009665,True
-4.1347108108581905,-4.052431089304931,False
-2.9627172567415982,-3.7555622872759535,True
-3.098211405874463,-4.007688828983062,True
-2.5260581837535616,-3.24087755556684,True
-3.6277637067768307,-4.467450857162476,True
-3.38557564932853,-4.339021224735512,True
-3.38557564932853,-3.938449031828592,True
-3.4018502390827052,-5.42504158988595,True
-3.184256112513443,-5.300789435704549,True
-2.675197815649426,-4.75399449773665,True
-5.464663449442014,-6.633779573440552,True
-3.0797321872414614,-3.9077055972224377,True
-4.11801696693874,-6.70472481250763,True
-2.9317329072865608,-5.416074740886688,True
-2.0409787144079536,-3.6268844438181986,True
-3.3334788733805505,-5.420606929913144,True
-2.7450937724352116,-5.187161652177262,True
-2.3486841447738698,-4.153536583180539,True
-2.7982280088795557,-4.446616570154826,True
-3.3298340714536607,-5.013224512338638,True
-2.132294071726998,-4.073209992311604,True
-2.8570207014076003,-3.508878654038364,True
-3.654967349022627,-4.572686061263084,True
-3.689396838963148,-3.9460906654527537,True
-3.0269610634138435,-3.599703049963864,True
-3.58818342950609,-4.988905337121752,True
-2.559727787040174,-4.082318311218511,True
-3.428601516617669,-4.750323666466607,True
-3.3730555078946054,-4.952559679746628,True
-2.898834209801862,-4.124999837755847,True
-2.6023855062878947,-4.185344262556597,True
-3.0354667706415057,-4.331465755899747,True
-2.7813560757521456,-3.617876270912926,True
-2.411675124913762,-3.1140789963925877,True
-3.4490659722109234,-4.391909483305062,True
-3.3486374548636375,-4.778513763632093,True
-3.3486374548636375,-4.656188641275678,True
-3.1850022673606873,-4.4295831347505255,True
-3.155934285786417,-4.517201553497996,True
-4.812943071126938,-6.103706121444702,True
-2.871014487971975,-4.149227057014489,True
-5.235368422099522,-7.0634331703186035,True
-4.750922676589754,-6.23241979504625,True
-5.916710359709604,-8.05229480266571,True
-2.5703571281545528,-3.714012004761025,True
-3.616233720909804,-5.119990264376004,True
-2.2527490884065626,-4.329759389907122,True
-2.6083235460667993,-3.1728549026525936,True
-2.5042170074637395,-3.443362585438246,True
-3.691007952671498,-5.171742632519454,True
-2.953546166419983,-5.2442386746406555,True
-2.8315666479498356,-5.016448206785652,True
-3.8949991447625507,-5.718591612909222,True
-2.481207709759474,-4.26393646672368,True
-2.672274689053302,-5.010578320672114,True
-2.652271006993639,-3.094040552775065,True
-1.696078173137861,-2.136226035276195,True
-3.8518061097711325,-5.1499646253883835,True
-2.489833054909303,-2.523583050243112,True
-3.0254189261799587,-5.882958139692034,True
-3.03017852040648,-5.129965682824452,True
-3.577686284778691,-6.827161925179618,True
-2.709570302208621,-4.339074869950612,True
-3.1402091196679978,-5.963262300938368,True
-2.951704315491952,-5.643413612619042,True
-2.851465645035205,-4.702149184048176,True
-3.2382418325763536,-3.6275252588939937,True
-2.5910264208743516,-3.5193901630965145,True
-3.3879394369238676,-3.64856009852762,True
-4.206615804642853,-4.331909426384502,True
-3.033745010785589,-3.2323203054680065,True
-2.508222348564838,-3.408731534005104,True
-5.020526222215267,-4.44511423446238,False
-2.8939590603113174,-4.212801985442638,True
-1.6698304042399217,-2.420027197553561,True
-3.4052445543115026,-4.467391728388611,True
-3.3638562775899614,-4.422260602089492,True
-3.72544655110687,-4.4699784716591235,True
-2.398109877462654,-3.3546732965041883,True
-3.954841888613171,-5.064972460269928,True
-3.259746527299285,-3.535668865523555,True
-2.5876626451441553,-2.719144727698509,True
-3.153315534698777,-3.7357639560306612,True
-2.49255598506092,-2.9517036877140135,True
-1.8045338161522522,-2.754851111397147,True
-3.0182046592235565,-3.623730665445328,True
-3.7093755658715963,-4.5288853123784065,True
-3.2314563875034867,-4.183678182669812,True
-3.1023876130173447,-5.643551215529442,True
-2.9919664981236567,-5.09840871559249,True
-3.0209443247030405,-5.8060598903232155,True
-2.7530766458633784,-4.753494763374329,True
-3.3074184813711325,-4.6903706161408785,True
-3.8457859455864107,-5.833431839942932,True
-3.7938334559003124,-6.193394740422566,True
-3.4516828546345804,-7.233126521110535,True
-2.225646554125258,-4.364548742771149,True
-3.3716755740344526,-4.478842735290527,True
-2.7604326036810316,-3.732336247996004,True
-3.322986783078787,-3.736676349389282,True
-3.0686517628928414,-5.925700515508652,True
-3.682273037079722,-4.672112786769867,True
-3.1284121418268316,-4.386534757084316,True
-3.3917422923776837,-4.156741937001546,True
-2.590172555020573,-2.9574515496612626,True
-3.0100946825482726,-4.34089276085142,True
-2.806468903599307,-3.828707511847218,True
-3.231259947328427,-4.482422912419732,True
-3.3824572771787644,-4.115945857134648,True
-2.7465559942211257,-3.471439911823432,True
-3.0374638435957757,-4.049569657772449,True
-2.4618671871875826,-3.4769994329527596,True
-3.87686771293617,-4.981172094147769,True
-2.95876934084954,-3.644320887808135,True
-3.265355581541856,-4.184798661867777,True
-3.621774791899096,-4.472888125320691,True
-3.256504975893222,-3.942239179487842,True
-2.8450673689915087,-3.7299579789590402,True
-3.234533647696177,-3.849645394599065,True
-2.7285534897182515,-3.668352096065064,True
-3.913013987661543,-4.311485689551773,True
-2.7446694318477967,-3.89092163091118,True
-2.7465559942211257,-3.471439911823432,True
-2.4618671871875826,-3.4769994329527596,True
-3.3354810965912685,-4.106615015438625,True
-4.277505240270069,-5.04237973690033,True
-3.0016482277501684,-3.8385333332262235,True
-3.3901913394530614,-4.184383686748333,True
-2.95876934084954,-3.644320887808135,True
-3.9089067856493784,-4.2690542553264095,True
-3.242749978144679,-3.7891222271072262,True
-2.6979698806186208,-3.4350711505762055,True
-3.018694874062203,-3.9861700932029636,True
-2.552062297407207,-2.868641287632651,True
-3.410641577867985,-4.755539129507572,True
-2.4618671871875826,-3.4769994329527596,True
-3.2888014905911405,-3.804755372392452,True
-3.20062789961016,-4.385496211798882,True
-3.4042384817876155,-4.277215835227253,True
-3.2562382477526626,-4.282960980218377,True
-3.7654186824203113,-4.434259208420853,True
-3.9494084846461193,-4.443567921190212,True
-3.7455910419113936,-4.230969894250545,True
-3.9174972266357924,-4.731723064290626,True
-2.8839295709167345,-3.5498071905526825,True
-2.950808478453837,-3.9096181152854115,True
-3.4155691574250038,-4.45697879154856,True
-3.4182818328020708,-4.356270043932212,True
-3.3750123702261288,-4.396076547711467,True
-3.4137079906631698,-4.487161021719658,True
-3.628828291098277,-4.910811789830526,True
-3.8927774173872813,-4.439851590565273,True
-2.806468903599307,-3.828707511847218,True
-3.651917474716902,-4.556470423191786,True
-2.38917396957792,-4.233652426143332,True
-2.537706786688642,-3.086306110185643,True
-2.979822668298665,-3.662507588742301,True
-2.654858402267564,-3.464668882794545,True
-2.2143420066634216,-3.7165824698400685,True
-3.7503222446794098,-4.348671726882458,True
-2.816337803074434,-2.888543895480325,True
-2.9666551516857,-4.999216756364331,True
-3.675638804833094,-4.785914765463935,True
-2.369094839404742,-2.9732976022319884,True
-2.925124273419247,-3.322058335661755,True
-1.8615573269995904,-3.356488282758969,True
-2.8334504170880583,-4.61939020880631,True
-4.07269719815813,-3.527564055674399,False
-1.8421321492598508,-2.3757215021464146,True
-1.758241654516193,-3.554608181118965,True
-2.5339058850129472,-4.062024965419551,True
-1.9870052046773101,-2.5118100490653887,True
-2.3724606444406424,-2.7492042052093892,True
-2.6210641886755184,-4.35427471473813,True
-1.8716199939033529,-2.1035529237636488,True
-2.0646950217442983,-3.059989181168091,True
-4.002486628463009,-3.959415770806286,False
-1.4566993809577677,-2.360492734832123,True
-2.324976905654694,-3.878434889833443,True
-2.0577096186804256,-2.7492222701412783,True
-2.0117510470639295,-3.7286675776510187,True
-2.404132630962592,-4.445416525292855,True
-3.1543582179334146,-3.5333893848583102,True
-2.1903438375077466,-3.4635067873380403,True
-3.054742614600457,-3.509947993133477,True
-2.979272090405175,-3.6033222992232368,True
-3.7438407528044824,-3.979603243272074,True
-2.9308148686468485,-3.4163440419360995,True
-2.311331628878065,-3.142784960450843,True
-1.829085602155897,-1.9474982211355523,True
-3.2254164358624258,-3.889251727579644,True
-1.6474610201819517,-1.8342411201921534,True
-2.0160712301201005,-3.881763616054481,True
-2.109460096379026,-2.837085224916351,True
-2.0169625694445132,-2.251750926416571,True
-3.1497243363395415,-3.982885335868394,True
-2.9882159682922067,-5.056871131062508,True
-2.0685502357748646,-5.605612082140786,True
-2.005677132281158,-5.303138331510127,True
-2.289281217248312,-2.817817773669958,True
-3.239126044063596,-4.671645710037814,True
-1.9519871365783426,-3.2284119606548405,True
-2.892459432439258,-5.061563943113599,True
-2.1644179338843306,-2.7521843162883837,True
-2.200264676926798,-2.552181486922729,True
-2.200264676926798,-2.7501162503920735,True
-2.200264676926798,-2.805829362908381,True
-2.200264676926798,-2.7421833472822486,True
-2.392958126725134,-2.8500909915283046,True
-2.740746437723059,-2.9485995729986687,True
-2.830092004821311,-3.217117383369791,True
-2.8415158096235245,-2.9343841377579207,True
-2.4229093887481126,-3.2200460676391405,True
-2.7625279199045116,-3.0970936959711253,True
-2.2052334240413205,-3.010851663691158,True
