vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,(We zijn niet) geneigd (om) dit zomaar voorbij te laten gaan.,(Jan is altijd) bereid (om) te helpen.,(We zijn niet) bereid (om) te luisteren.,(Piet is niet) bereid (om) te stoppen met roken.,(Hij is niet) gewend (om) aan de kant gezet te worden.,(Hij is niet) van plan (om) te helpen.,(Ze zijn niet) geneigd dat ze zouden vechten.,(We zijn niet) in staat dat we zouden begrijpen.,(Peter is altijd) van plan dat hij zou slagen.,Je moet tenslotte ergens in geloven.,Nergens wordt echt diep op ingegaan.,Hij heeft overal een mening over.,Daarnaast hebben enkele honderden werknemers actie gevoerd met werkonderbrekingen.,Door de tranen kon ik niet meer lezen. Overal kwam snot uit.,Waar ga je naartoe?,Eigenlijk lijkt het voorwerp nergens op dat ik eerder heb gezien.,Ik steun haar overal in wat ze doet.,Verftekeningen lagen op stapels gekwakt. Nergens op stond een titel of datum.
phenomenon,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,3,7,7,7,7,7,1,1,1,7,6,7,5,1,7,1,4,1
id_2,5,7,5,5,7,7,1,1,1,7,5,7,4,1,7,1,2,1
id_3,7,7,7,7,7,7,1,1,1,7,7,7,5,7,7,2,2,2
id_4,6,7,7,7,6,7,3,2,1,6,5,7,6,2,7,3,5,4
id_5,7,7,6,7,6,6,2,2,2,5,2,7,3,3,7,2,3,2
id_6,7,7,7,7,7,7,3,2,1,7,5,7,7,2,2,2,4,2
id_7,7,7,7,7,7,7,1,1,1,7,4,7,1,7,7,1,3,1
id_8,6,7,6,7,6,6,2,1,2,6,6,7,5,4,7,6,6,2
id_9,7,7,7,7,7,7,2,1,1,7,2,7,5,6,1,2,3,1
id_10,7,7,7,6,6,7,2,2,2,7,7,7,3,7,7,2,2,2
avg,6;2,7,6;6,6;7,6;6,6;8,1;8,1;4,1;3,6;6,4;9,7,4;4,4,5;9,2;2,3;4,1;8
max,7,7,7,7,7,7,3,2,2,7,7,7,7,7,7,6,6,4
min,3,7,5,5,6,6,1,1,1,5,2,7,1,1,1,1,2,1
