vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,(Ze zijn niet) geneigd (om) te vechten.,(We zijn niet) in staat (om) te begrijpen.,(Peter is altijd) van plan (om) te slagen.,(Piet is niet) bereid (om) te stoppen met roken.,(Hij is niet) gewend (om) aan de kant gezet te worden.,(Hij is niet) van plan (om) te helpen.,(We zijn niet) geneigd dat we dit zomaar voorbij zouden laten gaan.,(Jan is altijd) bereid dat hij zou helpen.,(We zijn niet) bereid dat we zouden luisteren.,Daarnaast hebben enkele honderden werknemers actie gevoerd met werkonderbrekingen.,Door de tranen kon ik niet meer lezen. Overal kwam snot uit.,Waar ga je naartoe?,Eigenlijk lijkt het voorwerp op niets dat ik eerder heb gezien.,Ik steun haar in alles wat ze doet.,Verftekeningen lagen op stapels gekwakt ... Nergens stond een titel of datum op.,Ergens in moet je tenslotte geloven.,Nergens op wordt echt diep ingegaan.,Overal over heeft hij een mening.
phenomenon,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,7,2,4,7,6,7,1,1,1,7,4,7,4,7,2,1,1,1
id_2,6,2,5,7,6,7,2,1,2,6,6,7,6,6,6,1,1,1
id_3,2,2,3,5,5,6,2,2,3,4,5,7,2,6,1,2,1,1
id_4,7,5,7,7,7,7,6,1,1,7,7,7,7,7,7,1,1,1
id_5,6,2,6,6,6,7,2,1,2,6,4,7,7,7,6,1,2,1
id_6,4,1,2,6,5,5,2,1,2,3,7,7,6,7,5,2,2,3
id_7,2,2,2,6,6,2,3,2,2,2,5,7,7,6,2,2,3,4
id_8,6,5,6,7,7,6,6,1,1,7,7,7,7,7,6,1,1,1
id_9,7,2,7,7,2,7,3,1,1,3,6,7,7,7,6,1,1,1
id_10,7,3,6,6,7,6,2,1,1,6,7,7,4,7,5,1,1,1
id_11,7,4,3,7,7,7,1,1,1,7,6,7,7,5,7,1,1,1
id_12,7,5,7,7,7,6,2,1,1,5,5,1,5,7,5,1,1,1
id_13,4,1,7,7,6,7,1,1,1,1,6,7,7,7,5,1,2,1
avg,5;538461538,2;769230769,5,6;538461538,5;923076923,6;153846154,2;538461538,1;153846154,1;461538462,4;923076923,5;769230769,6;538461538,5;846153846,6;615384615,4;846153846,1;230769231,1;384615385,1;384615385
max,7,5,7,7,7,7,6,2,3,7,7,7,7,7,7,2,3,4
min,2,1,2,5,2,2,1,1,1,1,4,1,2,5,1,1,1,1
