vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,Een zeer hard gesteente.,Laura is heel getalenteerd.,Hij is niet bepaald tuk op vergaderen.,De boom is erg hoog.,Wim is nogal eigenwijs.,Nienke is zeer aantrekkelijk.,Hij is niet dol.,Heel is de reis lang.,Een beetje is de bank zacht.,De koffie is warm genoeg.,Dat klusje is makkelijk zat.,Ik vind het een heel handig apparaat,Die flats zijn geweldig hoog.,Mijn vrienden zijn geweldig mooi.,De studenten zijn geweldig slim.,Een makkelijk zat examen.,Binnekort krijgen we een nieuw en heel handige systeem.,Zijn ego is groot voldoende.
phenomenon,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,7,7,7,7,7,7,1,1,1,7,7,7,7,7,7,7,1,1
id_2,5,7,3,7,7,7,5,2,4,7,7,7,5,7,6,3,4,4
id_3,7,6,7,7,7,6,1,1,1,7,5,7,6,4,3,6,6,1
id_4,7,7,4,7,6,7,1,1,1,6,4,6,4,5,5,1,3,2
id_5,7,7,4,5,7,7,2,2,2,7,4,7,3,2,7,2,2,2
id_6,4,7,5,7,7,7,4,4,1,7,7,7,4,4,7,4,2,1
id_7,6,7,6,4,7,7,1,1,1,5,6,7,4,2,6,2,3,2
id_8,7,7,6,6,6,2,1,1,1,7,6,7,1,1,1,2,1,1
id_9,7,7,7,6,7,7,2,1,1,6,3,7,2,2,5,2,1,1
id_10,7,7,7,7,7,7,4,1,1,7,7,7,7,7,7,7,1,1
id_11,4,6,3,6,7,7,3,1,2,6,5,7,5,5,5,1,5,1
avg,6;181818182,6;818181818,5;363636364,6;272727273,6;818181818,6;454545455,2;272727273,1;454545455,1;454545455,6;545454545,5;545454545,6;909090909,4;363636364,4;181818182,5;363636364,3;363636364,2;636363636,1;545454545
max,7,7,7,7,7,7,5,4,4,7,7,7,7,7,7,7,6,4
min,4,6,3,4,6,2,1,1,1,5,3,6,1,1,1,1,1,1
