vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,Die jongens zitten de hele les te slapen.,"Als je nu nog heel even blijft staan wachten, dan ga ik zo met je mee.",Ton heeft de hele middag aan zijn bureau zitten (te) werken.,De appels hebben al een maand aan de boom hangen te rotten.,Wim zit te slapen.,We geven u alvast enkel tips voor als u naar Corsica met vakantie mocht gaan.,Hoef ik naar hem te luisteren?,Die sportleraar heeft me geleerd te roeien.,Ik zag dat hij had zijn been op de stoel liggen.,Ze zag dat er een polítieauto kwam aangereden.,Ik hoop dat we voor zo'n ramp gespaard blijven.,Hij zei dat hij het vliegtuig niet kon zien naderen.,Ik denk dat ze nog wel zullen komen eten.,Ik vraag me af wanneer híj nu eindelijk eens de was te drogen hangt.,Hij zei dat hij met haar niets meer te maken wilde hebben.,Denk jij dat ze al zijn aan het eten?,Maarten zei dat hij 's middags vaak ging uit wandelen.,Ik denk dat die schuur nu wel moet staan op instorten.
phenomenon,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,5,4,7,5,6,3,4,7,2,6,4,7,7,7,4,2,2,4
id_2,5,1,2,1,5,3,1,4,3,1,1,3,6,4,1,1,1,5
id_3,4,3,4,3,2,1,2,3,1,2,4,3,4,3,4,2,2,2
id_4,7,5,7,1,7,6,1,6,1,7,7,7,5,7,5,1,1,1
id_5,7,6,6,5,7,7,1,6,1,7,5,7,7,6,7,1,4,1
id_6,7,7,7,7,7,1,1,7,1,7,1,7,7,4,7,1,1,1
id_7,7,1,4,1,7,1,1,5,1,2,7,6,5,7,6,1,1,1
id_8,7,5,7,2,7,1,1,7,1,6,1,7,7,7,6,1,1,1
id_9,6,3,6,1,4,7,1,6,1,2,5,6,2,5,7,1,1,1
id_10,7,2,6,2,7,3,2,7,1,6,6,6,6,7,6,1,3,4
id_11,7,6,7,5,7,4,6,7,2,6,3,6,5,3,5,2,3,3
id_12,4,6,7,4,2,4,2,5,1,5,5,6,4,4,5,2,2,1
avg,6;083333333,4;083333333,5;833333333,3;083333333,5;666666667,3;416666667,1;916666667,5;833333333,1;333333333,4;75,4;083333333,5;916666667,5;416666667,5;333333333,5;25,1;333333333,1;833333333,2;083333333
max,7,7,7,7,7,7,6,7,3,7,7,7,7,7,7,2,4,5
min,4,1,2,1,2,1,1,3,1,1,1,3,2,3,1,1,1,1
