vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,Hij zei dat hij de kraanvogels graag wilde fotograferen.,Ze was dat boek gaan lezen omdat ze gehoopt had er iets uit te leren.,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had geprobeerd door te sturen.,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had proberen door te sturen.,Ik zag hoe Bregje de bal door de opening probeerde te krijgen,Ze zeggen dat hij toen pas merkte een fout gemaakt te hebben.,Hij wist dat hij moest organiseren zijn documenten.,Ze hoorde dat ze moest verzetten haar afspraak.,Hij realiseerde zich dat hij had gemaakt een fout.,De kinderen leren op school zwemmen.,Hij zit te slapen.,Zijn broer gaat in Spanje wonen.,Dat hoefde ze niet te doen.,We zagen de koningin voorbijkomen.,Ze laten de bagage op het station staan.,Peter is vanmiddag geweest voetballen.,Zijn broer heeft altijd al in Spanje gewild gaan wonen.,Geen wonder dat de wandelaars bleken uitgehongerd (te zijn).
phenomenon,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,5,5,5,5,5,5,2,1,1,6,2,7,6,6,6,5,1,4
id_2,7,4,3,1,7,2,1,1,1,2,5,7,7,7,7,1,1,2
id_3,3,6,4,5,5,5,2,2,2,3,6,7,6,6,7,1,2,2
id_4,7,1,7,7,7,7,1,1,1,2,1,7,7,7,5,1,1,1
id_5,6,4,5,4,6,4,2,2,2,6,3,7,6,5,6,1,2,5
id_6,7,4,7,5,7,2,1,1,1,7,7,7,7,7,7,1,1,1
id_7,7,7,5,5,7,7,1,1,1,7,7,7,7,7,7,1,1,1
id_8,2,3,2,4,6,3,1,1,1,3,6,7,2,7,6,1,1,3
avg,5;5,4;25,4;75,4;5,6;25,4;375,1;375,1;25,1;25,4;5,4;625,7,6,6;5,6;375,1;5,1;25,2;375
max,7,7,7,7,7,7,2,2,2,7,7,7,7,7,7,5,2,5
min,2,1,2,1,5,2,1,1,1,2,1,7,2,5,5,1,1,1
