vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,De Toren van Pisa helt over.,De Taj Mahal staat in India.,Het continent van Europa is klein.,De sahara is erg heet.,De Eiffeltoren staat in Parijs.,De Mona Lisa hangt in het Louvre.,Er schijnt een maan.,Er schijnt een zon.,Een aarde is bol.,Mosselen eten (is in de mode.),Cognac aanbieden aan tante Fien (vindt pa doodzonde.),Een nieuwe broek kopen voor Eric (is altijd leuk.),Het pannenkoeken bakken (is voor Anneke niet moeilijk.),Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),Het voor grootmoeder thee inschenken (is een hele opgave.),De misdadiger terechtstelling (was afschrikwekkend.),De jarige schenking van kadobonnen (was een goed idee.),De in een supermarkt verstrekking van kortingsbonnen (werd gewaardeerd.)
phenomenon,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,6,7,2,7,7,7,7,7,4,5,2,4,1,5,3,2,1,2
id_2,7,7,4,7,7,7,2,1,2,7,7,7,7,7,5,5,2,5
id_3,7,7,5,7,7,7,7,7,1,7,7,5,7,7,4,1,1,1
id_4,7,7,6,7,7,7,4,3,1,7,7,7,2,7,2,1,1,7
id_5,7,7,6,7,7,7,7,7,6,7,7,7,5,7,5,1,1,1
id_6,4,5,5,5,5,4,5,4,4,4,4,4,6,6,2,2,2,5
id_7,7,7,2,7,7,7,4,5,2,3,5,4,1,4,1,2,3,2
id_8,6,7,2,7,7,7,6,6,3,6,6,7,5,7,3,2,3,4
avg,6;375,6;75,4,6;75,6;75,6;625,5;25,5,2;875,5;75,5;625,5;625,4;25,6;25,3;125,2,1;75,3;375
max,7,7,6,7,7,7,7,7,6,7,7,7,7,7,5,5,3,7
min,4,5,2,5,5,4,2,1,1,3,2,4,1,4,1,1,1,1
