vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,Een zeer hard gesteente.,Laura is heel getalenteerd.,Hij is niet bepaald tuk op vergaderen.,Hij is niet dol op online les.,De reis is heel lang.,De bank is een beetje zacht.,Erg is de boom hoog.,Wim is nogal.,Nienke is zeer.,De koffie is warm genoeg.,Dat klusje is makkelijk zat.,Ik vind het een heel handig apparaat,De examens zijn makkelijk zat.,Binnekort krijgen we een nieuwe en heel handig systeem.,Zijn ego is voldoende groot.,Die flats zijn geweldige hoog.,Mijn vrienden zijn geweldige mooi.,De studenten zijn geweldige slim.
phenomenon,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,6,7,5,6,5,7,1,1,1,7,6,7,7,1,3,1,1,1
id_2,5,7,3,6,7,7,2,2,2,7,3,7,6,5,3,2,1,2
id_3,7,7,6,7,7,7,1,2,2,7,5,7,2,2,2,2,2,2
id_4,2,6,5,5,7,7,1,6,6,7,2,7,2,1,1,1,7,1
id_5,5,7,1,5,7,7,1,1,1,7,7,7,7,2,5,2,1,2
id_6,7,7,6,5,6,7,2,2,2,7,5,7,2,2,2,2,2,5
id_7,7,7,4,7,7,7,1,1,1,7,7,7,7,1,2,1,1,2
id_8,7,7,6,6,7,7,3,4,4,5,7,7,7,4,4,2,5,3
avg,5;75,6;875,4;5,5;875,6;625,7,1;5,2;375,2;375,6;75,5;25,7,5,2;25,2;75,1;625,2;5,2;25
max,7,7,6,7,7,7,3,6,6,7,7,7,7,5,5,2,7,5
min,2,6,1,5,5,7,1,1,1,5,2,7,2,1,1,1,1,1
