vraag,Q14_1,Q18_1,Q17_1,Q16_1,Q15_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q25_1,Q24_1,Q23_1,Q22_1,Q21_1,Q20_1,Q19_1,Q18_1
zin,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had proberen door te sturen.,Ik zag hoe Bregje de bal door de opening probeerde te krijgen,Ze zeggen dat hij toen pas merkte een fout gemaakt te hebben.,Hij wist dat hij zijn documenten moest organiseren.,Ze hoorde dat ze haar afspraak moest verzetten.,Hij realiseerde zich dat hij een fout had gemaakt.,Hij zei dat hij de kraanvogels wilde graag fotograferen.,Ze was dat boek gaan lezen omdat ze er iets uit had hopen te leren.,Ik had gehoopt dat Dick dat artikel intussen had geprobeerd aan de redactie door te sturen.,We zagen de koningin voorbijkomen.,Ze laten de bagage op het station staan.,De kinderen leren op school zwemmen.,Peter is vanmiddag voetballen.,Zijn broer wil in Spanje gaan wonen.,Geen wonder dat de wandelaars uitgehongerd bleken (te zijn).,Hij heeft gezeten te slapen.,Zijn broer is in Spanje gegaan wonen.,Dat had ze niet gehoeven doen.
phenomenon,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
grammatical,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
id_1,1,1,1,6,7,7,7,1,1,7,7,6,7,7,7,2,7,7
id_2,3,7,4,3,7,7,1,2,2,7,7,7,4,7,6,1,1,1
id_3,4,5,5,4,6,7,1,3,4,6,5,7,5,5,6,1,1,1
id_4,5,6,4,5,6,7,1,3,5,7,7,6,2,7,6,1,6,2
id_5,4,7,5,7,7,7,2,5,6,7,7,7,7,7,6,2,2,2
id_6,6,7,2,7,7,6,1,4,4,7,7,2,7,7,5,2,2,2
id_7,7,6,7,7,7,7,2,6,4,7,7,2,2,7,7,2,2,2
id_8,7,7,3,7,7,7,1,2,6,7,7,4,3,7,6,1,1,1
id_9,1,5,1,7,7,7,1,1,4,7,7,4,5,7,3,1,1,1
avg,4;222222222,5;666666667,3;555555556,5;888888889,6;777777778,6;888888889,1;888888889,3,4,6;888888889,6;777777778,5,4;666666667,6;777777778,5;777777778,1;444444444,2;555555556,2;111111111
max,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,2,7,7
min,1,1,1,3,6,6,1,1,1,6,5,2,2,5,3,1,1,1
